investor_id,transaction_count,avg_gap_days,risk_status
INV000190,8,65.71428571428571,At Risk
INV000191,11,42.4,At Risk
INV000192,8,57.0,At Risk
INV000193,9,58.25,At Risk
INV000194,12,33.72727272727273,Active
INV000195,10,45.77777777777778,At Risk
INV000196,9,56.75,At Risk
INV000199,7,64.33333333333333,At Risk
INV000200,7,69.83333333333333,At Risk
INV000201,10,48.666666666666664,At Risk
INV000203,9,39.875,At Risk
INV000204,7,69.0,At Risk
INV000205,10,48.666666666666664,At Risk
INV000210,9,61.875,At Risk
INV000211,9,61.0,At Risk
INV000213,6,54.0,At Risk
INV000214,10,52.666666666666664,At Risk
INV000215,9,56.375,At Risk
INV000216,6,53.0,At Risk
INV000217,11,46.0,At Risk
INV000220,6,80.6,At Risk
INV000221,8,38.42857142857143,At Risk
INV000222,6,45.6,At Risk
INV000223,11,49.8,At Risk
INV000224,7,57.5,At Risk
INV000225,8,53.714285714285715,At Risk
INV000226,8,69.57142857142857,At Risk
INV000228,12,43.45454545454545,At Risk
INV000229,7,46.333333333333336,At Risk
INV000230,10,50.666666666666664,At Risk
INV000231,11,34.1,Active
INV000234,7,81.16666666666667,At Risk
INV000235,10,42.111111111111114,At Risk
INV000236,8,67.14285714285714,At Risk
INV000238,10,52.0,At Risk
INV000239,11,34.2,Active
INV000241,10,40.888888888888886,At Risk
INV000242,10,49.55555555555556,At Risk
INV000243,8,63.0,At Risk
INV000244,9,34.0,Active
INV000245,11,46.1,At Risk
INV000249,8,39.0,At Risk
INV000251,6,65.0,At Risk
INV000252,10,36.77777777777778,At Risk
INV000255,8,56.0,At Risk
INV000256,12,38.45454545454545,At Risk
INV000257,8,53.285714285714285,At Risk
INV000259,9,44.125,At Risk
INV000260,12,37.90909090909091,At Risk
INV000261,10,50.44444444444444,At Risk
INV000262,12,34.09090909090909,Active
INV000263,9,59.875,At Risk
INV000265,12,43.72727272727273,At Risk
INV000266,7,62.166666666666664,At Risk
INV000267,12,34.45454545454545,Active
INV000268,11,43.2,At Risk
INV000270,6,48.8,At Risk
INV000271,6,93.6,At Risk
INV000274,6,89.2,At Risk
INV000276,6,68.4,At Risk
INV000278,8,67.0,At Risk
INV000279,12,31.545454545454547,Active
INV000280,12,40.54545454545455,At Risk
INV000283,11,46.5,At Risk
INV000284,7,63.666666666666664,At Risk
INV000286,7,79.5,At Risk
INV000287,9,52.375,At Risk
INV000288,9,57.125,At Risk
INV000289,12,39.90909090909091,At Risk
INV000291,9,55.625,At Risk
INV000292,11,35.8,At Risk
INV000293,12,45.45454545454545,At Risk
INV000294,7,62.333333333333336,At Risk
INV000296,8,58.57142857142857,At Risk
INV000297,9,56.625,At Risk
INV000298,6,74.0,At Risk
INV000299,11,48.8,At Risk
INV000301,7,45.666666666666664,At Risk
INV000303,6,88.4,At Risk
INV000304,10,53.111111111111114,At Risk
INV000305,9,44.0,At Risk
INV000307,7,75.66666666666667,At Risk
INV000308,7,82.66666666666667,At Risk
INV000309,12,41.54545454545455,At Risk
INV000310,12,41.36363636363637,At Risk
INV000312,8,68.42857142857143,At Risk
INV000314,9,50.25,At Risk
INV000316,6,77.0,At Risk
INV000318,8,69.57142857142857,At Risk
INV000319,9,55.125,At Risk
INV000320,12,38.18181818181818,At Risk
INV000321,12,44.27272727272727,At Risk
INV000323,6,59.6,At Risk
INV000326,6,74.4,At Risk
INV000328,12,29.545454545454547,Active
INV000330,9,55.625,At Risk
INV000331,11,47.7,At Risk
INV000332,6,64.4,At Risk
INV000333,6,90.2,At Risk
INV000334,12,26.636363636363637,Active
INV000335,11,48.0,At Risk
INV000337,7,69.0,At Risk
INV000339,10,57.111111111111114,At Risk
INV000340,6,25.6,Active
INV000341,11,46.1,At Risk
INV000344,10,41.22222222222222,At Risk
INV000346,6,52.8,At Risk
INV000349,11,45.2,At Risk
INV000351,8,49.57142857142857,At Risk
INV000352,6,64.6,At Risk
INV000354,7,78.16666666666667,At Risk
INV000356,8,38.857142857142854,At Risk
INV000359,10,48.111111111111114,At Risk
INV000360,9,61.125,At Risk
INV000361,6,46.0,At Risk
INV000363,8,66.0,At Risk
INV000366,8,35.142857142857146,At Risk
INV000369,8,37.714285714285715,At Risk
INV000370,6,93.4,At Risk
INV000371,11,41.5,At Risk
INV000372,10,42.888888888888886,At Risk
INV000374,8,55.857142857142854,At Risk
INV000377,8,61.42857142857143,At Risk
INV000378,6,47.0,At Risk
INV000380,7,80.83333333333333,At Risk
INV000383,10,52.333333333333336,At Risk
INV000384,7,57.833333333333336,At Risk
INV000387,9,48.0,At Risk
INV000388,10,47.666666666666664,At Risk
INV000389,6,95.0,At Risk
INV000390,8,52.42857142857143,At Risk
INV000392,12,42.72727272727273,At Risk
INV000393,7,75.33333333333333,At Risk
INV000394,11,44.1,At Risk
INV000395,9,51.5,At Risk
INV000396,12,44.63636363636363,At Risk
INV000397,6,87.2,At Risk
INV000399,11,44.6,At Risk
INV000400,10,34.77777777777778,Active
INV000402,7,47.0,At Risk
INV000403,11,43.2,At Risk
INV000407,8,66.71428571428571,At Risk
INV000408,7,55.5,At Risk
INV000410,8,56.285714285714285,At Risk
INV000411,6,57.4,At Risk
INV000412,9,38.25,At Risk
INV000413,10,51.55555555555556,At Risk
INV000414,11,46.4,At Risk
INV000415,10,52.666666666666664,At Risk
INV000417,7,52.166666666666664,At Risk
INV000418,9,55.625,At Risk
INV000421,7,80.16666666666667,At Risk
INV000425,7,56.333333333333336,At Risk
INV000427,11,41.1,At Risk
INV000428,11,48.1,At Risk
INV000429,8,55.57142857142857,At Risk
INV000430,6,94.6,At Risk
INV000431,8,59.285714285714285,At Risk
INV000432,7,78.33333333333333,At Risk
INV000436,6,58.4,At Risk
INV000437,9,61.125,At Risk
INV000439,12,34.45454545454545,Active
INV000440,12,44.81818181818182,At Risk
INV000441,8,60.714285714285715,At Risk
INV000444,11,36.6,At Risk
INV000445,11,46.2,At Risk
INV000446,10,40.888888888888886,At Risk
INV000449,8,69.71428571428571,At Risk
INV000452,12,35.90909090909091,At Risk
INV000453,8,42.0,At Risk
INV000454,6,93.0,At Risk
INV000456,6,47.4,At Risk
INV000457,12,41.54545454545455,At Risk
INV000458,12,42.0,At Risk
INV000460,12,43.09090909090909,At Risk
INV000463,10,43.44444444444444,At Risk
INV000466,10,48.888888888888886,At Risk
INV000467,10,56.666666666666664,At Risk
INV000469,12,38.45454545454545,At Risk
INV000473,8,49.57142857142857,At Risk
INV000477,10,44.666666666666664,At Risk
INV000480,9,56.625,At Risk
INV000481,10,52.111111111111114,At Risk
INV000482,10,47.0,At Risk
INV000483,11,49.3,At Risk
INV000485,6,85.8,At Risk
INV000487,7,76.5,At Risk
INV000488,7,75.16666666666667,At Risk
INV000491,12,43.18181818181818,At Risk
INV000492,7,74.33333333333333,At Risk
INV000493,12,38.90909090909091,At Risk
INV000494,7,55.166666666666664,At Risk
INV000495,12,38.54545454545455,At Risk
INV000496,7,54.166666666666664,At Risk
INV000497,10,54.22222222222222,At Risk
INV000499,9,58.375,At Risk
INV000500,8,52.857142857142854,At Risk
INV000505,6,82.0,At Risk
INV000507,9,56.375,At Risk
INV000511,8,62.57142857142857,At Risk
INV000512,12,42.45454545454545,At Risk
INV000514,8,43.142857142857146,At Risk
INV000519,6,74.2,At Risk
INV000520,6,68.2,At Risk
INV000521,9,43.25,At Risk
INV000522,12,45.81818181818182,At Risk
INV000523,10,53.111111111111114,At Risk
INV000524,10,41.22222222222222,At Risk
INV000525,8,49.142857142857146,At Risk
INV000526,10,44.333333333333336,At Risk
INV000527,11,50.2,At Risk
INV000529,11,41.3,At Risk
INV000531,11,28.4,Active
INV000532,11,48.3,At Risk
INV000533,8,65.71428571428571,At Risk
INV000535,6,97.4,At Risk
INV000539,9,57.75,At Risk
INV000540,11,48.4,At Risk
INV000543,8,71.71428571428571,At Risk
INV000544,8,62.285714285714285,At Risk
INV000545,10,50.666666666666664,At Risk
INV000546,12,40.0,At Risk
INV000547,12,43.72727272727273,At Risk
INV000548,8,67.28571428571429,At Risk
INV000549,10,53.44444444444444,At Risk
INV000552,10,55.111111111111114,At Risk
INV000553,7,60.0,At Risk
INV000554,10,39.0,At Risk
INV000556,11,41.3,At Risk
INV000557,6,88.0,At Risk
INV000558,8,61.42857142857143,At Risk
INV000562,7,62.0,At Risk
INV000563,12,41.63636363636363,At Risk
INV000566,12,39.63636363636363,At Risk
INV000567,12,40.54545454545455,At Risk
INV000568,9,39.0,At Risk
INV000569,12,42.18181818181818,At Risk
INV000570,11,47.1,At Risk
INV000573,12,27.727272727272727,Active
INV000575,8,52.714285714285715,At Risk
INV000576,9,52.75,At Risk
INV000577,11,43.4,At Risk
INV000578,12,45.81818181818182,At Risk
INV000580,9,49.25,At Risk
INV000581,12,42.72727272727273,At Risk
INV000583,9,51.75,At Risk
INV000584,8,63.857142857142854,At Risk
INV000585,9,61.125,At Risk
INV000586,12,44.54545454545455,At Risk
INV000587,12,33.81818181818182,Active
INV000589,11,47.3,At Risk
INV000591,8,55.285714285714285,At Risk
INV000593,11,43.8,At Risk
INV000595,10,53.44444444444444,At Risk
INV000596,12,43.27272727272727,At Risk
INV000597,8,63.285714285714285,At Risk
INV000598,6,93.6,At Risk
INV000599,10,54.333333333333336,At Risk
INV000600,6,88.8,At Risk
INV000601,10,32.666666666666664,Active
INV000602,10,45.77777777777778,At Risk
INV000604,10,42.55555555555556,At Risk
INV000606,12,38.27272727272727,At Risk
INV000607,10,50.22222222222222,At Risk
INV000608,7,83.5,At Risk
INV000609,12,26.09090909090909,Active
INV000611,6,69.2,At Risk
INV000612,12,44.81818181818182,At Risk
INV000614,7,26.0,Active
INV000615,9,46.125,At Risk
INV000616,9,61.5,At Risk
INV000619,9,26.0,Active
INV000621,10,47.111111111111114,At Risk
INV000623,10,48.44444444444444,At Risk
INV000624,9,43.75,At Risk
INV000625,12,41.45454545454545,At Risk
INV000626,6,73.4,At Risk
INV000629,6,75.6,At Risk
INV000630,9,54.25,At Risk
INV000631,9,41.375,At Risk
INV000633,6,86.2,At Risk
INV000634,11,41.8,At Risk
INV000635,8,53.57142857142857,At Risk
INV000636,6,54.4,At Risk
INV000637,6,64.2,At Risk
INV000638,8,71.0,At Risk
INV000639,11,50.8,At Risk
INV000641,8,44.857142857142854,At Risk
INV000642,11,50.2,At Risk
INV000643,7,51.5,At Risk
INV000644,6,69.4,At Risk
INV000645,12,30.0,Active
INV000646,12,37.63636363636363,At Risk
INV000649,10,52.22222222222222,At Risk
INV000651,8,70.85714285714286,At Risk
INV000652,12,43.36363636363637,At Risk
INV000654,6,91.4,At Risk
INV000656,7,62.333333333333336,At Risk
INV000657,10,50.333333333333336,At Risk
INV000658,9,47.375,At Risk
INV000660,6,42.0,At Risk
INV000661,8,60.42857142857143,At Risk
INV000662,11,46.3,At Risk
INV000663,6,94.4,At Risk
INV000664,8,46.714285714285715,At Risk
INV000665,12,29.636363636363637,Active
INV000666,7,62.166666666666664,At Risk
INV000667,12,43.54545454545455,At Risk
INV000671,12,38.72727272727273,At Risk
INV000673,6,92.8,At Risk
INV000675,12,36.63636363636363,At Risk
INV000676,12,32.09090909090909,Active
INV000678,11,38.0,At Risk
INV000682,6,96.6,At Risk
INV000683,11,50.6,At Risk
INV000689,8,46.714285714285715,At Risk
INV000690,12,45.90909090909091,At Risk
INV000691,10,52.888888888888886,At Risk
INV000693,10,44.333333333333336,At Risk
INV000694,7,82.5,At Risk
INV000695,8,63.285714285714285,At Risk
INV000698,12,38.0,At Risk
INV000699,8,36.42857142857143,At Risk
INV000701,11,50.2,At Risk
INV000703,7,84.0,At Risk
INV000704,9,50.625,At Risk
INV000706,9,54.5,At Risk
INV000707,10,45.0,At Risk
INV000708,8,66.0,At Risk
INV000709,12,39.54545454545455,At Risk
INV000710,7,73.83333333333333,At Risk
INV000711,8,60.0,At Risk
INV000714,12,26.90909090909091,Active
INV000715,7,55.333333333333336,At Risk
INV000717,7,77.66666666666667,At Risk
INV000718,10,38.55555555555556,At Risk
INV000719,12,40.72727272727273,At Risk
INV000720,8,70.71428571428571,At Risk
INV000721,7,78.0,At Risk
INV000722,9,52.125,At Risk
INV000723,6,86.6,At Risk
INV000724,9,50.75,At Risk
INV000725,8,58.0,At Risk
INV000726,7,69.5,At Risk
INV000728,9,39.125,At Risk
INV000732,10,42.333333333333336,At Risk
INV000733,7,74.5,At Risk
INV000734,11,46.3,At Risk
INV000735,8,61.42857142857143,At Risk
INV000736,10,44.333333333333336,At Risk
INV000737,8,66.14285714285714,At Risk
INV000738,8,49.57142857142857,At Risk
INV000739,8,60.714285714285715,At Risk
INV000741,8,65.71428571428571,At Risk
INV000742,6,83.0,At Risk
INV000744,10,28.22222222222222,Active
INV000745,6,88.8,At Risk
INV000746,9,60.5,At Risk
INV000747,11,45.7,At Risk
INV000749,12,40.45454545454545,At Risk
INV000750,12,35.36363636363637,At Risk
INV000751,11,42.4,At Risk
INV000752,7,78.66666666666667,At Risk
INV000753,7,50.666666666666664,At Risk
INV000754,11,44.7,At Risk
INV000755,7,66.16666666666667,At Risk
INV000757,6,83.4,At Risk
INV000758,10,50.44444444444444,At Risk
INV000759,11,49.8,At Risk
INV000761,11,49.4,At Risk
INV000764,8,57.57142857142857,At Risk
INV000765,12,43.0,At Risk
INV000767,6,94.2,At Risk
INV000768,12,38.18181818181818,At Risk
INV000769,7,76.66666666666667,At Risk
INV000772,12,36.36363636363637,At Risk
INV000774,9,55.25,At Risk
INV000776,11,42.1,At Risk
INV000777,8,47.142857142857146,At Risk
INV000778,11,48.1,At Risk
INV000779,12,40.36363636363637,At Risk
INV000782,6,35.4,At Risk
INV000783,12,44.36363636363637,At Risk
INV000784,8,62.42857142857143,At Risk
INV000785,11,38.9,At Risk
INV000786,10,57.0,At Risk
INV000788,7,52.5,At Risk
INV000789,10,44.333333333333336,At Risk
INV000791,9,56.125,At Risk
INV000793,11,48.4,At Risk
INV000799,7,80.83333333333333,At Risk
INV000803,9,57.875,At Risk
INV000804,6,92.2,At Risk
INV000806,12,34.09090909090909,Active
INV000810,10,38.0,At Risk
INV000811,6,58.2,At Risk
INV000813,8,62.142857142857146,At Risk
INV000814,7,78.33333333333333,At Risk
INV000819,6,48.0,At Risk
INV000821,9,44.5,At Risk
INV000822,9,41.625,At Risk
INV000823,10,35.44444444444444,At Risk
INV000826,7,74.5,At Risk
INV000827,10,45.333333333333336,At Risk
INV000829,9,58.875,At Risk
INV000830,10,44.44444444444444,At Risk
INV000831,6,54.0,At Risk
INV000833,10,56.44444444444444,At Risk
INV000836,7,70.66666666666667,At Risk
INV000840,9,62.875,At Risk
INV000841,7,71.33333333333333,At Risk
INV000843,11,35.8,At Risk
INV000844,10,44.111111111111114,At Risk
INV000845,7,46.5,At Risk
INV000847,11,26.9,Active
INV000849,11,47.2,At Risk
INV000850,6,28.6,Active
INV000851,9,53.375,At Risk
INV000853,12,40.36363636363637,At Risk
INV000854,10,54.44444444444444,At Risk
INV000856,9,55.0,At Risk
INV000857,9,52.125,At Risk
INV000858,11,35.9,At Risk
INV000860,10,47.44444444444444,At Risk
INV000861,9,54.875,At Risk
INV000862,9,59.625,At Risk
INV000864,11,42.0,At Risk
INV000865,11,40.4,At Risk
INV000869,10,37.22222222222222,At Risk
INV000870,6,70.4,At Risk
INV000873,10,49.0,At Risk
INV000874,12,45.18181818181818,At Risk
INV000876,6,37.0,At Risk
INV000877,9,37.125,At Risk
INV000880,6,84.8,At Risk
INV000881,12,37.72727272727273,At Risk
INV000885,6,87.0,At Risk
INV000887,11,40.6,At Risk
INV000888,9,60.25,At Risk
INV000890,7,43.333333333333336,At Risk
INV000891,9,55.0,At Risk
INV000892,6,77.0,At Risk
INV000893,9,45.375,At Risk
INV000894,12,43.54545454545455,At Risk
INV000895,8,63.57142857142857,At Risk
INV000901,7,45.166666666666664,At Risk
INV000902,10,43.111111111111114,At Risk
INV000906,11,36.8,At Risk
INV000907,9,40.5,At Risk
INV000909,6,82.8,At Risk
INV000912,11,41.5,At Risk
INV000913,7,76.33333333333333,At Risk
INV000914,9,55.5,At Risk
INV000915,6,78.2,At Risk
INV000919,7,58.5,At Risk
INV000920,9,47.25,At Risk
INV000921,6,76.2,At Risk
INV000925,8,59.57142857142857,At Risk
INV000926,8,57.142857142857146,At Risk
INV000927,7,25.5,Active
INV000929,10,39.666666666666664,At Risk
INV000930,12,23.90909090909091,Active
INV000931,8,49.285714285714285,At Risk
INV000933,9,55.375,At Risk
INV000935,11,24.7,Active
INV000939,11,45.0,At Risk
INV000941,6,95.0,At Risk
INV000942,12,39.63636363636363,At Risk
INV000944,6,68.4,At Risk
INV000946,6,60.0,At Risk
INV000947,8,64.28571428571429,At Risk
INV000949,11,40.5,At Risk
INV000950,11,48.6,At Risk
INV000954,10,56.333333333333336,At Risk
INV000957,8,52.57142857142857,At Risk
INV000958,6,90.6,At Risk
INV000959,9,45.125,At Risk
INV000960,9,60.875,At Risk
INV000962,8,57.57142857142857,At Risk
INV000966,12,39.18181818181818,At Risk
INV000968,9,48.625,At Risk
INV000969,10,48.333333333333336,At Risk
INV000970,6,45.4,At Risk
INV000971,12,36.0,At Risk
INV000972,11,38.1,At Risk
INV000974,8,63.0,At Risk
INV000977,12,39.90909090909091,At Risk
INV000978,7,46.833333333333336,At Risk
INV000979,8,59.42857142857143,At Risk
INV000980,10,36.77777777777778,At Risk
INV000981,11,30.4,Active
INV000984,9,44.5,At Risk
INV000985,6,73.2,At Risk
INV000986,9,45.625,At Risk
INV000988,8,66.71428571428571,At Risk
INV000989,7,83.0,At Risk
INV000992,6,83.2,At Risk
INV000994,12,40.18181818181818,At Risk
INV000995,9,21.875,Active
INV000997,8,55.142857142857146,At Risk
INV000999,8,47.142857142857146,At Risk
INV001001,12,40.54545454545455,At Risk
INV001002,10,46.44444444444444,At Risk
INV001005,11,46.8,At Risk
INV001006,6,93.0,At Risk
INV001008,9,48.625,At Risk
INV001009,10,42.333333333333336,At Risk
INV001011,6,99.4,At Risk
INV001012,6,32.4,Active
INV001013,10,53.77777777777778,At Risk
INV001014,7,77.66666666666667,At Risk
INV001015,6,36.0,At Risk
INV001017,7,68.5,At Risk
INV001019,11,35.9,At Risk
INV001020,7,53.833333333333336,At Risk
INV001021,10,45.77777777777778,At Risk
INV001023,12,46.09090909090909,At Risk
INV001024,8,51.285714285714285,At Risk
INV001025,8,32.57142857142857,Active
INV001026,11,47.8,At Risk
INV001027,8,70.57142857142857,At Risk
INV001029,11,46.9,At Risk
INV001031,11,48.2,At Risk
INV001034,7,69.16666666666667,At Risk
INV001036,10,54.666666666666664,At Risk
INV001037,11,42.6,At Risk
INV001039,9,47.875,At Risk
INV001041,8,71.14285714285714,At Risk
INV001042,7,49.5,At Risk
INV001043,8,71.0,At Risk
INV001045,8,71.14285714285714,At Risk
INV001047,10,55.666666666666664,At Risk
INV001048,12,35.27272727272727,At Risk
INV001049,7,69.66666666666667,At Risk
INV001051,11,37.9,At Risk
INV001053,10,51.666666666666664,At Risk
INV001055,10,51.77777777777778,At Risk
INV001058,12,44.81818181818182,At Risk
INV001060,12,38.81818181818182,At Risk
INV001061,11,40.9,At Risk
INV001062,7,52.5,At Risk
INV001063,12,30.727272727272727,Active
INV001064,12,43.27272727272727,At Risk
INV001067,10,41.666666666666664,At Risk
INV001068,6,99.2,At Risk
INV001069,11,35.2,At Risk
INV001070,12,44.09090909090909,At Risk
INV001074,8,44.714285714285715,At Risk
INV001075,7,51.0,At Risk
INV001077,9,46.75,At Risk
INV001079,11,46.1,At Risk
INV001080,8,52.142857142857146,At Risk
INV001081,6,79.0,At Risk
INV001083,9,43.25,At Risk
INV001087,7,63.5,At Risk
INV001088,7,74.33333333333333,At Risk
INV001091,6,71.8,At Risk
INV001092,12,42.18181818181818,At Risk
INV001093,9,57.875,At Risk
INV001094,7,77.5,At Risk
INV001096,10,51.888888888888886,At Risk
INV001099,11,31.9,Active
INV001101,6,85.4,At Risk
INV001102,10,50.666666666666664,At Risk
INV001103,8,47.57142857142857,At Risk
INV001109,6,90.4,At Risk
INV001111,6,96.6,At Risk
INV001112,6,40.0,At Risk
INV001113,7,48.5,At Risk
INV001115,10,45.77777777777778,At Risk
INV001116,12,42.27272727272727,At Risk
INV001117,9,54.0,At Risk
INV001118,10,49.0,At Risk
INV001123,9,56.75,At Risk
INV001124,7,79.66666666666667,At Risk
INV001128,11,44.2,At Risk
INV001130,11,46.6,At Risk
INV001131,10,53.888888888888886,At Risk
INV001133,6,41.6,At Risk
INV001137,11,34.3,Active
INV001138,9,50.5,At Risk
INV001140,8,56.57142857142857,At Risk
INV001141,8,69.71428571428571,At Risk
INV001142,9,49.5,At Risk
INV001144,6,64.4,At Risk
INV001152,6,46.6,At Risk
INV001155,8,69.14285714285714,At Risk
INV001156,10,56.888888888888886,At Risk
INV001157,12,33.63636363636363,Active
INV001160,9,52.75,At Risk
INV001161,8,57.57142857142857,At Risk
INV001163,12,43.54545454545455,At Risk
INV001165,7,57.5,At Risk
INV001166,9,54.0,At Risk
INV001167,6,96.2,At Risk
INV001168,7,76.16666666666667,At Risk
INV001170,9,49.125,At Risk
INV001173,7,55.833333333333336,At Risk
INV001174,9,58.75,At Risk
INV001175,7,78.66666666666667,At Risk
INV001178,12,43.54545454545455,At Risk
INV001180,8,61.857142857142854,At Risk
INV001181,9,59.0,At Risk
INV001182,6,71.0,At Risk
INV001183,6,55.8,At Risk
INV001185,9,50.125,At Risk
INV001186,8,44.57142857142857,At Risk
INV001189,8,46.57142857142857,At Risk
INV001190,7,80.83333333333333,At Risk
INV001192,6,81.4,At Risk
INV001195,12,34.27272727272727,Active
INV001196,6,92.2,At Risk
INV001197,9,49.875,At Risk
INV001198,11,48.4,At Risk
INV001202,9,50.75,At Risk
INV001204,7,75.83333333333333,At Risk
INV001206,12,38.0,At Risk
INV001207,7,50.833333333333336,At Risk
INV001208,10,37.333333333333336,At Risk
INV001210,12,26.818181818181817,Active
INV001212,8,45.142857142857146,At Risk
INV001213,10,53.888888888888886,At Risk
INV001215,6,97.0,At Risk
INV001217,12,39.09090909090909,At Risk
INV001218,9,49.25,At Risk
INV001219,11,36.9,At Risk
INV001220,9,57.875,At Risk
INV001221,8,64.57142857142857,At Risk
INV001222,6,68.6,At Risk
INV001223,11,42.5,At Risk
INV001224,8,40.57142857142857,At Risk
INV001225,9,53.125,At Risk
INV001227,11,39.7,At Risk
INV001228,12,43.18181818181818,At Risk
INV001232,6,87.8,At Risk
INV001233,7,55.5,At Risk
INV001234,12,40.72727272727273,At Risk
INV001235,11,47.2,At Risk
INV001236,7,73.33333333333333,At Risk
INV001237,7,81.66666666666667,At Risk
INV001238,12,37.36363636363637,At Risk
INV001241,6,33.0,Active
INV001242,10,47.333333333333336,At Risk
INV001244,6,34.2,Active
INV001246,6,80.0,At Risk
INV001247,7,44.333333333333336,At Risk
INV001249,6,71.6,At Risk
INV001250,6,82.2,At Risk
INV001251,9,54.25,At Risk
INV001255,6,70.8,At Risk
INV001257,10,52.44444444444444,At Risk
INV001259,12,43.81818181818182,At Risk
INV001260,7,68.33333333333333,At Risk
INV001261,7,55.5,At Risk
INV001262,8,50.857142857142854,At Risk
INV001264,8,44.857142857142854,At Risk
INV001265,7,57.5,At Risk
INV001269,10,56.44444444444444,At Risk
INV001274,12,45.36363636363637,At Risk
INV001275,12,39.0,At Risk
INV001280,6,83.6,At Risk
INV001281,6,88.8,At Risk
INV001282,8,54.857142857142854,At Risk
INV001284,11,50.6,At Risk
INV001287,9,57.625,At Risk
INV001288,8,39.142857142857146,At Risk
